05-18-2026 02:34:23 RAM 3119/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [38%@729,41%@729,39%@729,43%@729,37%@729,41%@729] GR3D_FREQ 88% cpu@43.468C soc2@42.25C soc0@43.156C gpu@44C tj@44C soc1@43.406C VDD_IN 7867mW/7384mW VDD_CPU_GPU_CV 2587mW/2391mW VDD_SOC 1876mW/1769mW
05-18-2026 02:34:24 RAM 3120/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [43%@729,41%@729,46%@729,39%@729,43%@729,41%@729] GR3D_FREQ 68% cpu@43.875C soc2@42.375C soc0@43.312C gpu@44C tj@44C soc1@43.531C VDD_IN 8346mW/7414mW VDD_CPU_GPU_CV 3025mW/2411mW VDD_SOC 1916mW/1774mW
05-18-2026 02:34:25 RAM 3120/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [39%@1036,41%@1036,38%@1036,38%@1036,34%@729,46%@729] GR3D_FREQ 42% cpu@43.562C soc2@42.218C soc0@43.25C gpu@43.843C tj@43.843C soc1@43.656C VDD_IN 7947mW/7430mW VDD_CPU_GPU_CV 2746mW/2421mW VDD_SOC 1876mW/1777mW
05-18-2026 02:34:26 RAM 3118/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [38%@729,30%@729,31%@729,28%@729,60%@729,34%@729] GR3D_FREQ 72% cpu@43.531C soc2@42.25C soc0@43.281C gpu@44.093C tj@44.093C soc1@43.562C VDD_IN 7520mW/7433mW VDD_CPU_GPU_CV 2312mW/2418mW VDD_SOC 1837mW/1779mW
05-18-2026 02:34:27 RAM 3118/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [41%@806,39%@806,42%@806,39%@806,36%@729,44%@729] GR3D_FREQ 15% cpu@43.593C soc2@42.406C soc0@43.406C gpu@44.25C tj@44.25C soc1@43.593C VDD_IN 8107mW/7452mW VDD_CPU_GPU_CV 2866mW/2431mW VDD_SOC 1876mW/1781mW
05-18-2026 02:34:28 RAM 3118/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [40%@729,36%@729,38%@729,36%@729,30%@729,35%@729] GR3D_FREQ 26% cpu@43.531C soc2@42.406C soc0@43.5C gpu@44.062C tj@44.062C soc1@43.75C VDD_IN 7947mW/7466mW VDD_CPU_GPU_CV 2746mW/2439mW VDD_SOC 1876mW/1784mW
05-18-2026 02:34:29 RAM 3116/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [37%@729,40%@729,46%@729,40%@729,35%@806,35%@806] GR3D_FREQ 59% cpu@43.906C soc2@42.562C soc0@43.468C gpu@44.156C tj@44.156C soc1@43.843C VDD_IN 8186mW/7485mW VDD_CPU_GPU_CV 2826mW/2450mW VDD_SOC 1916mW/1788mW
05-18-2026 02:34:30 RAM 3126/7620MB (lfb 40x4MB) SWAP 0/3810MB (cached 0MB) CPU [43%@806,31%@806,37%@806,47%@806,36%@729,31%@729] GR3D_FREQ 90% cpu@43.781C soc2@42.531C soc0@43.5C gpu@44.25C tj@44.25C soc1@43.781C VDD_IN 7480mW/7485mW VDD_CPU_GPU_CV 2392mW/2448mW VDD_SOC 1837mW/1789mW
05-18-2026 02:34:31 RAM 3131/7620MB (lfb 39x4MB) SWAP 0/3810MB (cached 0MB) CPU [43%@729,39%@729,36%@729,37%@729,30%@729,26%@729] GR3D_FREQ 35% cpu@43.812C soc2@42.312C soc0@43.531C gpu@44.25C tj@44.25C soc1@43.812C VDD_IN 7200mW/7478mW VDD_CPU_GPU_CV 2192mW/2442mW VDD_SOC 1760mW/1788mW
05-18-2026 02:34:32 RAM 3152/7620MB (lfb 36x4MB) SWAP 0/3810MB (cached 0MB) CPU [39%@729,39%@729,30%@729,35%@729,31%@729,32%@729] GR3D_FREQ 95% cpu@43.687C soc2@42.375C soc0@43.531C gpu@44.062C tj@44.062C soc1@43.906C VDD_IN 7080mW/7468mW VDD_CPU_GPU_CV 2033mW/2431mW VDD_SOC 1760mW/1787mW
